排名,股票代號,股票名稱,概念股,公司業務,入選理由,月營收年增率,月營收月增率,EPS 是否轉虧為盈,毛利率是否改善,法人是否上修目標價,股價是否仍在低位階,成交量是否溫和放大,雷達等級,風險說明,雷達強度,收盤價,當天成交量(張),price_source,price_source_status,market_date,official_rank_eligible,市場,年月,單月營收_千元,月營收金額,去年同月營收,月資料,revenue_month,日資料,資料版本,追蹤狀態,風險標籤
11,2889,國票金,金融;壽險;銀行,金融保險相關公司，需再追蹤產品組合與主要客戶。,營收年增 147.9%，月增 5.7%，符合低基期轉強預篩,+147.94%,+5.74%,是,否,否,是,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,56.7,15.0,3178,yfinance,verified,2026-06-25,True,上市,2026-05,1588661,15.89億元,6.41億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,觀察順位較後
12,6446,藥華藥,生技醫療;醫材;新藥,醫療器材、藥品、生技服務或醫療通路相關公司。,營收年增 108.5%，月增 19.1%，符合低基期轉強預篩,+108.47%,+19.10%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,55.7,1175.0,1379,yfinance,verified,2026-06-25,True,上市,2026-05,2458451,24.58億元,11.79億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,觀察順位較後
13,2347,聯強,電子通路;半導體通路,電子通路相關公司，需再追蹤產品組合與主要客戶。,營收年增 129.3%，月增 18.3%，符合低基期轉強預篩,+129.27%,+18.28%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,55.5,94.8,4035,yfinance,verified,2026-06-25,True,上市,2026-05,67818918,678.19億元,295.80億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,觀察順位較後
14,2548,華固,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 9203.6%，月增 -67.1%，符合低基期轉強預篩,+9203.56%,-67.05%,是,否,否,是,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,55.0,103.5,1412,yfinance,verified,2026-06-25,True,上市,2026-05,316321,3.16億元,340萬元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,月增轉弱、低基期需確認、觀察順位較後
15,6541,泰福-KY,生技醫療;醫材;新藥,醫療器材、藥品、生技服務或醫療通路相關公司。,營收年增 208.2%，月增 -58.4%，符合低基期轉強預篩,+208.20%,-58.43%,是,否,否,是,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,55.0,40.75,1761,yfinance,verified,2026-06-25,True,上市,2026-05,36078,"3,608萬元","1,171萬元",2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,月增轉弱、觀察順位較後
16,4739,康普,化工材料;特用化學,化學工業相關公司，需再追蹤產品組合與主要客戶。,營收年增 141.0%，月增 12.9%，符合低基期轉強預篩,+140.95%,+12.92%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,53.9,114.5,3208,yfinance,verified,2026-06-25,True,上市,2026-05,1159552,11.60億元,4.81億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,觀察順位較後
17,2368,金像電,PCB;AI伺服器;高階板材,金像電主要做伺服器與網通用 PCB。,營收年增 87.3%，月增 20.4%，符合低基期轉強預篩,+87.30%,+20.35%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,52.9,1245.0,3212,yfinance,verified,2026-06-25,True,上市,2026-05,8773229,87.73億元,46.84億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,觀察順位較後
18,6472,保瑞,生技醫療;醫材;新藥,醫療器材、藥品、生技服務或醫療通路相關公司。,營收年增 40.2%，月增 42.5%，符合低基期轉強預篩,+40.19%,+42.46%,否,是,否,是,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,52.8,421.0,1291,yfinance,verified,2026-06-25,True,上市,2026-05,2114486,21.14億元,15.08億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,觀察順位較後
19,2337,旺宏,記憶體;低基期;AI邊緣需求,旺宏主要做 NOR Flash、NAND Flash 與唯讀記憶體。,低基期後營收轉強，若價格與報價循環續揚，具重新估值空間,+175.80%,+5.80%,是,是,否,否,否,B,記憶體價格循環反轉、庫存調整、匯率與終端需求不如預期,51.7,163.0,110614,yfinance,verified,2026-06-25,True,上市,2026-05,6255653,62.56億元,22.68億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,爆量股、觀察順位較後
20,2820,華票,金融;壽險;銀行,金融保險相關公司，需再追蹤產品組合與主要客戶。,營收年增 89.4%，月增 11.4%，符合低基期轉強預篩,+89.40%,+11.36%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,50.8,17.85,1362,yfinance,verified,2026-06-25,True,上市,2026-05,417554,4.18億元,2.20億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,觀察順位較後
21,2404,漢唐,AI伺服器供應鏈;設備;電子製造服務,電子製造服務、設備、材料或AI伺服器供應鏈公司。,營收年增 85.0%，月增 13.7%，符合低基期轉強預篩,+85.01%,+13.70%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,50.4,1320.0,3574,yfinance,verified,2026-06-25,True,上市,2026-05,9217814,92.18億元,49.82億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,觀察順位較後
22,2425,承啟,AI伺服器;PC/NB;邊緣運算,PC、筆電、伺服器、AI伺服器或週邊設備相關公司。,營收年增 95.2%，月增 4.9%，符合低基期轉強預篩,+95.17%,+4.90%,是,否,否,否,是,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,50.3,42.35,6191,yfinance,verified,2026-06-25,True,上市,2026-05,1777915,17.78億元,9.11億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,觀察順位較後
23,2851,中再保,金融;壽險;銀行,金融保險相關公司，需再追蹤產品組合與主要客戶。,營收年增 1113.1%，月增 -16.2%，符合低基期轉強預篩,+1113.15%,-16.23%,是,否,否,否,是,觀察,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,50.0,38.65,2997,yfinance,verified,2026-06-25,True,上市,2026-05,3084054,30.84億元,2.54億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,月增轉弱、低基期需確認
24,2547,日勝生,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 69.9%，月增 112.9%，符合低基期轉強預篩,+69.90%,+112.93%,否,是,否,否,否,觀察,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,47.5,10.9,1500,yfinance,verified,2026-06-25,True,上市,2026-05,749510,7.50億元,4.41億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,一般觀察
25,2359,所羅門,AI伺服器供應鏈;設備;電子製造服務,電子製造服務、設備、材料或AI伺服器供應鏈公司。,營收年增 66.8%，月增 47.2%，符合低基期轉強預篩,+66.80%,+47.20%,否,是,否,否,否,觀察,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,45.9,134.5,1108,yfinance,verified,2026-06-25,True,上市,2026-05,525755,5.26億元,3.15億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,一般觀察
26,6770,力積電,半導體;AI供應鏈;先進製程,半導體設計、製造、封測、材料或設備相關公司。,營收年增 58.9%，月增 14.4%，符合低基期轉強預篩,+58.86%,+14.36%,否,是,否,否,是,觀察,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,44.0,84.1,348181,yfinance,verified,2026-06-25,True,上市,2026-05,5770374,57.70億元,36.32億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,爆量股
27,9945,潤泰新,其他,其他相關公司，需再追蹤產品組合與主要客戶。,營收年增 72.0%，月增 32.8%，符合低基期轉強預篩,+72.00%,+32.83%,否,是,否,否,否,觀察,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,42.9,26.85,3639,yfinance,verified,2026-06-25,True,上市,2026-05,5231795,52.32億元,30.42億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,一般觀察
28,3443,創意,半導體;AI供應鏈;先進製程,半導體設計、製造、封測、材料或設備相關公司。,營收年增 132.1%，月增 8.8%，符合低基期轉強預篩,+132.13%,+8.85%,是,否,否,否,否,觀察,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,42.7,4850.0,2508,yfinance,verified,2026-06-25,True,上市,2026-05,4674012,46.74億元,20.14億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,一般觀察
29,2408,南亞科,半導體;AI供應鏈;先進製程,半導體設計、製造、封測、材料或設備相關公司。,營收年增 730.1%，月增 8.5%，符合低基期轉強預篩,+730.14%,+8.55%,是,否,否,否,否,觀察,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,42.6,468.5,71974,yfinance,verified,2026-06-25,True,上市,2026-05,27669563,276.70億元,33.33億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,低基期需確認、爆量股
30,8926,台汽電,能源;油電燃氣,油電燃氣相關公司，需再追蹤產品組合與主要客戶。,營收年增 768.2%，月增 7.3%，符合低基期轉強預篩,+768.17%,+7.26%,是,否,否,否,否,觀察,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,42.2,79.7,6940,yfinance,verified,2026-06-25,True,上市,2026-05,7279773,72.80億元,8.39億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,低基期需確認
